MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,Filename,QuasarProbability
b'QSO B1420+326',14 22 30.3789,+32 23 10.440,9.0,9.0,0.3799999952316284,0.2800000011920929,0.0,B,R,b'2011AJ....142...89P',./Images/QuasarCandidate_4731.jpg,0.9589001536369324
b'2MASS J14214209+3319353',14 21 42.10,+33 19 35.4,6.0,6.0,310.0,190.0,89.0,B,I,b'2003yCat.2246....0C',./Images/QuasarCandidate_4732.jpg,0.7551687955856323
b'GUVV J142808.4+320624.6',14 28 08.471,+32 06 24.70,7.0,7.0,,,0.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_4733.jpg,0.9710456728935242
b'NDWFS J142654.3+323210',14 26 54.30,+32 32 10.7,6.0,6.0,,,0.0,C,O,b'2010ApJ...710.1498G',./Images/QuasarCandidate_4734.jpg,0.0009503735927864909
b'NDWFS J142605.0+324000',14 26 05.09,+32 40 00.7,6.0,6.0,,,0.0,C,O,b'2010ApJ...710.1498G',./Images/QuasarCandidate_4735.jpg,0.001680226530879736
b'NDWFS J142605.6+323150',14 26 05.67,+32 31 50.9,6.0,6.0,,,0.0,C,O,b'2010ApJ...710.1498G',./Images/QuasarCandidate_4736.jpg,0.0006989467656239867
b'CXOXB J143128.2+330702',14 31 28.241,+33 07 02.56,7.0,7.0,,,0.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_4737.jpg,0.942376971244812
b'NDWFS J143119.5+322643',14 31 19.59,+32 26 43.6,6.0,6.0,,,0.0,C,O,b'2010ApJ...710.1498G',./Images/QuasarCandidate_4738.jpg,0.0009142478229478002
b'NDWFS J142622.4+323741',14 26 22.44,+32 37 41.7,6.0,6.0,,,0.0,C,O,b'2010ApJ...710.1498G',./Images/QuasarCandidate_4739.jpg,3.3604599991576833e-08
b'[VV2000] J143038.2+315917',14 30 38.2656,+31 59 17.465,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A',./Images/QuasarCandidate_4740.jpg,0.9328540563583374
b'QSO B1421+331',14 23 26.0549,+32 52 20.360,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A',./Images/QuasarCandidate_4741.jpg,0.8929910659790039
b'3FGL J1426.2+3402',14 26 07.7162,+34 04 26.324,10.0,10.0,2.7100000381469727,2.259999990463257,0.0,A,R,b'2013AJ....146....5P',./Images/QuasarCandidate_4742.jpg,0.6888899803161621
b'SDSS J142337.63+341052.9',14 23 37.634,+34 10 52.97,7.0,7.0,,,0.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_4743.jpg,0.98265540599823
b'NDWFS J143106.0+323011',14 31 06.04,+32 30 11.3,6.0,6.0,,,0.0,C,O,b'2010ApJ...710.1498G',./Images/QuasarCandidate_4744.jpg,0.0009431280195713043
b'SDSS J141836.54+330401.5',14 18 36.541,+33 04 01.50,7.0,7.0,40.0,37.0,0.0,C,O,b'2012ApJS..203...21A',./Images/QuasarCandidate_4745.jpg,0.004381914157420397
b'NVSS J143117+321831',14 31 17.650,+32 18 30.68,7.0,7.0,320.0,280.0,2.0,B,I,b'2003yCat.2246....0C',./Images/QuasarCandidate_4746.jpg,0.0009311346220783889
b'NDWFS J142540.4+324304',14 25 40.46,+32 43 04.8,6.0,6.0,,,0.0,C,O,b'2010ApJ...710.1498G',./Images/QuasarCandidate_4747.jpg,0.0006812727078795433
b'NDWFS J143152.3+325450',14 31 52.32,+32 54 50.2,6.0,6.0,,,0.0,C,O,b'2010ApJ...710.1498G',./Images/QuasarCandidate_4748.jpg,0.008731422945857048
b'NDWFS J142657.3+323819',14 26 57.39,+32 38 19.0,6.0,6.0,,,0.0,C,O,b'2010ApJ...710.1498G',./Images/QuasarCandidate_4749.jpg,0.00039415870560333133
b'NDWFS J142636.9+324903',14 26 36.96,+32 49 03.8,6.0,6.0,,,0.0,C,O,b'2010ApJ...710.1498G',./Images/QuasarCandidate_4750.jpg,0.0009658465278334916
b'NDWFS J142512.0+321941',14 25 12.03,+32 19 41.8,6.0,6.0,,,0.0,C,O,b'2010ApJ...710.1498G',./Images/QuasarCandidate_4751.jpg,0.000600892526563257
b'2MASSI J1419167+320302',14 19 16.7007,+32 03 02.860,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A',./Images/QuasarCandidate_4752.jpg,0.94953453540802
b'NDWFS J142628.7+324140',14 26 28.76,+32 41 40.9,6.0,6.0,,,0.0,C,O,b'2010ApJ...710.1498G',./Images/QuasarCandidate_4753.jpg,0.0006733705522492528
b'Mrk  471',14 22 55.386,+32 51 02.06,7.0,7.0,,,0.0,B,I,b'2006AJ....131.1163S',./Images/QuasarCandidate_4754.jpg,0.0
b'[VV2000] J143157.9+341650',14 31 57.9369,+34 16 50.184,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A',./Images/QuasarCandidate_4755.jpg,0.9246864914894104
b'2MASS J14294041+3258010',14 29 40.410,+32 58 01.05,7.0,7.0,400.0,320.0,90.0,B,I,b'2003yCat.2246....0C',./Images/QuasarCandidate_4756.jpg,8.619744221505243e-06
b'2MASS J14152285+3333063',14 15 22.854,+33 33 06.40,7.0,7.0,110.0,90.0,90.0,B,I,b'2003yCat.2246....0C',./Images/QuasarCandidate_4757.jpg,0.00043536609155125916
b'USNO-A2.0 1275-08440954',14 25 20.683,+38 32 38.98,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4758.jpg,3.081297350604473e-08
b'USNO-A2.0 1275-08415712',14 18 54.859,+40 00 10.40,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4759.jpg,1.1467216154414928e-06
b'USNO-A2.0 1275-08385797',14 09 51.338,+38 56 57.19,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4760.jpg,7.198430012067547e-06
b'7C 142405.79+403757.00',14 26 06.1867,+40 24 32.088,8.0,8.0,45.4000015258789,33.59999847412109,90.0,B,,b'2009A&A...505..385A',./Images/QuasarCandidate_4761.jpg,0.9350041747093201
b'6C 142922+400626',14 31 20.5383,+39 52 41.529,9.0,9.0,0.4600000083446503,0.36000001430511475,0.0,B,R,b'2011AJ....142...89P',./Images/QuasarCandidate_4762.jpg,0.04895521327853203
b'USNO-A2.0 1275-08376587',14 07 05.822,+40 03 14.51,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4763.jpg,0.014992021955549717
b'FIRST J140729.5+372836',14 07 29.520,+37 28 36.54,7.0,7.0,118.0,110.0,0.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_4764.jpg,0.0006919822189956903
b'LEDA 3096361',14 32 36.3,+37 52 50,5.0,5.0,,,0.0,C,R,b'2010A&A...518A..10V',./Images/QuasarCandidate_4765.jpg,1.3717381790461121e-14
b'USNO-A2.0 1275-08428777',14 22 07.267,+40 25 48.04,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4766.jpg,1.934824922500411e-06
b'USNO-A2.0 1275-08398695',14 13 48.595,+38 01 10.63,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4767.jpg,7.544450397745095e-09
b'USNO-A2.0 1275-08412085',14 17 52.531,+37 55 21.68,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4768.jpg,7.416841896201731e-08
b'USNO-A2.0 1275-08381144',14 08 27.590,+39 27 44.06,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4769.jpg,2.2941699651113368e-09
b'USNO-A2.0 1275-08413591',14 18 18.041,+37 40 31.40,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4770.jpg,4.4308094970801903e-08
b'USNO-A2.0 1275-08431000',14 22 41.182,+40 25 38.32,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4771.jpg,1.4975332085498394e-09
b'USNO-A2.0 1275-08390206',14 11 10.070,+40 03 14.15,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4772.jpg,0.0005750426207669079
b'GALEX 2687076693150008552',14 12 34.938,+38 24 46.85,7.0,7.0,,,0.0,C,O,b'2014A&A...563A..54P',./Images/QuasarCandidate_4773.jpg,0.9461125135421753
b'GALEX 2687076697444976073',14 09 51.702,+38 40 29.36,7.0,7.0,,,0.0,C,O,b'2014A&A...563A..54P',./Images/QuasarCandidate_4774.jpg,0.8804698586463928
b'USNO-A2.0 1275-08419853',14 19 57.898,+38 05 18.60,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4775.jpg,3.8507997136532214e-17
b'USNO-A2.0 1275-08425720',14 21 24.566,+40 18 37.19,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4776.jpg,0.00025418182485736907
b'FIRST J141001.5+381633',14 10 02.7,+38 16 38,5.0,5.0,27000.0,9000.0,121.0,E,F,b'1990IRASF.C......0M',./Images/QuasarCandidate_4777.jpg,0.000795554427895695
b'USNO-A2.0 1275-08433529',14 23 21.377,+38 56 53.34,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4778.jpg,7.652563908777665e-06
b'USNO-A2.0 1275-08408876',14 16 55.423,+40 26 56.22,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4779.jpg,2.6316232179524057e-13
b'USNO-A2.0 1275-08396926',14 13 16.380,+38 25 53.08,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4780.jpg,0.002983270213007927
b'SDSS J141848.23+373837.3',14 18 48.225,+37 38 37.31,7.0,7.0,12.0,12.0,0.0,C,O,b'2012ApJS..203...21A',./Images/QuasarCandidate_4781.jpg,0.721146821975708
b'USNO-A2.0 1275-08440519',14 25 13.385,+40 09 02.63,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4782.jpg,3.3977540225826885e-10
b'USNO-A2.0 1275-08467973',14 32 41.297,+40 00 54.65,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4783.jpg,0.04135105013847351
b'USNO-A2.0 1275-08423459',14 20 52.752,+39 59 14.35,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4784.jpg,1.9963146769441664e-05
b'USNO-A2.0 1275-08409909',14 17 13.370,+40 18 37.19,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4785.jpg,0.0003017327398993075
b'USNO-A2.0 1275-08401533',14 14 41.758,+38 31 58.91,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4786.jpg,4.632227501133457e-05
b'USNO-A2.0 1275-08387944',14 10 28.958,+39 34 10.67,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4787.jpg,0.052530087530612946
b'USNO-A2.0 1275-08383944',14 09 19.284,+39 28 09.34,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4788.jpg,2.3034681362332776e-06
b'USNO-A2.0 1275-08444561',14 26 20.292,+39 42 58.75,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4789.jpg,2.862029191419424e-07
b'USNO-A2.0 1275-08437072',14 24 18.283,+40 26 03.84,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4790.jpg,0.10760682821273804
b'[VV2000] J143144.9+391910',14 31 44.9109,+39 19 10.349,8.0,8.0,45.4000015258789,33.59999847412109,90.0,B,,b'2009A&A...505..385A',./Images/QuasarCandidate_4791.jpg,0.8226035833358765
b'USNO-A2.0 1275-08430214',14 22 29.074,+40 02 47.90,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4792.jpg,0.0001030187850119546
b'USNO-A2.0 1275-08390621',14 11 17.676,+40 17 41.50,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4793.jpg,0.6823127269744873
b'USNO-A2.0 1275-08392878',14 11 59.489,+38 27 52.24,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4794.jpg,0.4886136054992676
b'USNO-A2.0 1275-08417637',14 19 24.629,+40 07 27.26,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4795.jpg,1.0610020581225399e-05
b'USNO-A2.0 1275-08391009',14 11 25.349,+38 46 50.02,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4796.jpg,4.979896857548738e-06
b'GALEX 2687076693150010861',14 15 50.336,+38 52 36.31,7.0,7.0,,,0.0,C,O,b'2014A&A...563A..54P',./Images/QuasarCandidate_4797.jpg,0.8810911178588867
b'USNO-A2.0 1275-08441191',14 25 24.492,+38 46 35.15,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4798.jpg,1.1386203368601855e-05
b'GALEX 2687076693150010146',14 17 18.970,+38 44 37.01,7.0,7.0,6000.0,46.0,90.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_4799.jpg,0.023768166080117226
b'[VV2006] J140906.5+385350',14 09 06.4657,+38 53 50.340,8.0,8.0,97.3000030517578,53.20000076293945,90.0,B,,b'2009A&A...505..385A',./Images/QuasarCandidate_4800.jpg,0.9501662254333496
b'USNO-A2.0 1275-08384650',14 09 30.989,+39 28 00.08,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4801.jpg,6.084889747626221e-08
b'7C 141903.20+390906.00',14 21 06.0316,+38 55 22.826,9.0,9.0,0.5400000214576721,0.44999998807907104,0.0,B,R,b'2011AJ....142...89P',./Images/QuasarCandidate_4802.jpg,0.9729764461517334
b'USNO-A2.0 1275-08401688',14 14 44.592,+38 00 02.88,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4803.jpg,0.002667688997462392
b'2MASS J14320498+4021311',14 32 04.98,+40 21 31.1,6.0,6.0,110.0,90.0,1.0,B,I,b'2003yCat.2246....0C',./Images/QuasarCandidate_4804.jpg,0.04587969928979874
b'USNO-A2.0 1275-08428760',14 22 06.919,+37 31 34.68,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4805.jpg,4.784918239408853e-09
b'USNO-A2.0 1275-08406076',14 16 04.303,+38 52 49.30,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4806.jpg,0.017476996406912804
b'USNO-A2.0 1350-08416393',14 21 14.714,+45 16 17.15,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4807.jpg,0.8309389352798462
b'USNO-A2.0 1275-08415976',14 18 59.268,+44 03 40.14,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4808.jpg,1.3018544575693625e-12
b'SDSS J140805.66+460658.0',14 08 05.665,+46 06 58.02,7.0,7.0,65.0,62.0,0.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_4809.jpg,0.011155720800161362
b'USNO-A2.0 1275-08379127',14 07 52.418,+44 16 47.14,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_4810.jpg,0.08165167272090912
